---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR1702,5Mu  Lep,BSC,0,78.2329,-16.2056,0.043,-0.026,0.023,28,3.31
HR4660,69Del UMa,BSC,0,183.8567,57.0325,0.104,0.009,0.061,-13,3.31
HR4037,Ome Car,BSC,0,153.4342,-70.0381,-0.039,0.007,,7,3.32
HR4140,,BSC,0,158.0058,-61.6853,-0.019,0.009,,26,3.32
HR7234,40Tau Sgr,BSC,0,286.735,-27.6706,-0.053,-0.251,0.044,45,3.32
HR6380,Eta Sco,BSC,0,258.0383,-43.2392,0.024,-0.287,0.063,-28,3.33
HR6462,Gam Ara,BSC,0,261.3483,-56.3775,-0.002,-0.012,,-3,3.34
HR3045,7Xi  Pup,BSC,0,117.3238,-24.8597,-0.003,-0.002,0.003,3,3.34
HR6698,64Nu  Oph,BSC,0,269.7567,-9.7736,-0.007,-0.116,0.021,13,3.34
HR4359,70The Leo,BSC,0,168.56,15.4294,-0.061,-0.079,0.026,8,3.34
HR1336,Alp Ret,BSC,0,63.6063,-62.4739,0.045,0.045,0.013,36,3.35
HR8465,21Zet Cep,BSC,0,332.7137,58.2011,0.015,0.004,0.017,-18,3.35
HR1788,28Eta Ori,BSC,0,81.1192,-2.3969,0.002,0,0.007,20,3.36
HR7377,30Del Aql,BSC,0,291.3746,3.1147,0.257,0.082,0.072,-30,3.36
HR2484,31Xi  Gem,BSC,0,101.3225,12.8956,-0.116,-0.191,0.055,25,3.36
HR3323,1Omi UMa,BSC,0,127.5663,60.7181,-0.133,-0.107,0.009,20,3.36
HR5708,Eps Lup,BSC,0,230.6704,-44.6894,-0.019,-0.013,0.009,8,3.37
HR5107,79Zet Vir,BSC,0,203.6733,-0.5958,-0.285,0.042,0.044,-13,3.37
HR4910,43Del Vir,BSC,0,193.9008,3.3975,-0.469,-0.054,0.022,-18,3.38
HR3482,11Eps Hya,BSC,0,131.6942,6.4189,-0.189,-0.051,0.027,36,3.38
HR542,45Eps Cas,BSC,0,28.5987,63.67,0.032,-0.021,0.01,-8,3.38
HR921,25Rho Per,BSC,0,46.2942,38.8403,0.13,-0.106,0.011,28,3.39
